StudentID,SchoolID,FirstName,LastName,DateOfBirth,Gender,EnrollmentDate,IsActive,EconomicStatus,ELL,SpecialEducation,IEPStatus,PerformanceLevel,AttendancePropensity
38,1,Bailey,Williams,2019-05-03,Male,2024-03-04,1,Free,0,0,No IEP,60,0.95
39,1,Noah,Brown,2014-03-26,Male,2022-07-22,1,Reduced,0,0,No IEP,52,0.78
40,1,Gabriel,Hall,2020-09-24,Female,2023-05-30,1,Reduced,0,1,No IEP,98,0.56
41,1,Isaiah,Jones,2010-02-02,Female,2022-09-22,1,Free,0,0,No IEP,12,0.56
42,1,Dakota,Rodriguez,2018-01-24,Other,2023-07-22,1,Full Price,0,0,No IEP,36,0.73
43,1,Jordan,Johnson,2012-06-18,Other,2023-03-25,1,Reduced,0,1,No IEP,91,0.73
44,1,Bailey,Hall,2012-05-03,Female,2023-02-23,1,Full Price,1,0,No IEP,89,0.9
45,1,Casey,Brown,2013-11-14,Female,2023-04-16,1,Free,0,0,No IEP,73,0.85
46,1,Casey,Brown,2008-12-02,Male,2023-06-01,1,Full Price,0,0,No IEP,77,0.92
47,1,Eden,Smith,2017-07-19,Other,2024-02-01,1,Free,1,0,No IEP,57,0.9
48,1,Morgan,Davis,2010-07-17,Other,2024-03-31,1,Free,0,0,No IEP,60,0.95
49,1,Logan,Rodriguez,2014-04-17,Female,2023-02-11,1,Reduced,0,0,No IEP,70,0.97
50,1,Harper,Allen,2006-04-19,Male,2022-11-03,1,Free,0,0,No IEP,93,0.97
51,1,Eden,Garcia,2016-06-03,Other,2024-01-04,1,Reduced,0,0,No IEP,73,0.75
52,1,Gabriel,Brown,2006-03-06,Male,2023-07-03,1,Reduced,0,0,No IEP,96,0.56
53,1,Morgan,White,2009-08-05,Male,2023-10-01,1,Free,0,1,No IEP,75,0.96
54,1,Oliver,Davis,2012-07-13,Male,2023-10-10,1,Full Price,0,0,Current IEP,83,0.71
55,1,Bailey,Hall,2015-09-25,Other,2022-09-24,1,Free,0,0,No IEP,60,0.77
56,1,Dakota,Garcia,2010-10-23,Other,2023-02-07,1,Reduced,0,0,No IEP,44,0.51
57,1,Oliver,Walker,2017-02-17,Other,2023-10-31,1,Full Price,0,0,No IEP,91,0.95
58,1,Jordan,Young,2012-05-21,Male,2024-04-10,1,Free,0,0,No IEP,85,0.95
59,1,Alex,Davis,2013-09-09,Other,2023-01-01,1,Full Price,0,0,No IEP,88,0.79
60,1,Jordan,Garcia,2011-08-24,Other,2024-04-17,1,Free,0,0,Current IEP,40,0.67
61,1,Gabriel,Johnson,2019-02-19,Other,2024-03-16,1,Reduced,1,0,No IEP,88,0.93
62,1,Parker,White,2018-03-20,Male,2023-08-04,1,Full Price,1,1,No IEP,65,0.94
63,1,Casey,Rodriguez,2007-05-17,Other,2023-10-25,1,Free,0,0,No IEP,86,0.91
64,1,Oliver,Lee,2015-08-26,Female,2024-04-25,1,Free,0,0,No IEP,83,0.91
65,1,Morgan,Garcia,2014-10-20,Female,2022-11-23,1,Free,0,0,No IEP,19,0.66
66,1,Bailey,Miller,2017-02-15,Other,2024-04-22,0,Reduced,0,0,Current IEP,51,0.9
67,1,Oliver,Hall,2017-12-28,Other,2022-12-05,1,Free,1,0,No IEP,55,0.97
68,1,Gabriel,Rodriguez,2011-05-18,Female,2023-02-01,1,Reduced,0,0,No IEP,91,0.95
69,1,Jordan,Lee,2015-09-15,Male,2022-10-29,1,Reduced,0,1,No IEP,63,0.78
70,1,Casey,Young,2012-10-05,Male,2023-04-19,1,Full Price,0,0,No IEP,49,0.63
71,1,Kendrick,Young,2017-08-01,Male,2023-02-03,1,Free,0,0,No IEP,63,0.97
72,1,Noah,Davis,2015-10-08,Other,2022-10-14,1,Reduced,1,0,No IEP,31,0.81
73,1,Oliver,Lee,2012-09-04,Female,2023-03-06,1,Full Price,1,1,No IEP,75,0.9
74,1,Eden,Young,2018-09-10,Female,2023-05-02,1,Reduced,0,0,No IEP,50,0.96
75,1,Jordan,Johnson,2018-06-18,Male,2022-06-29,0,Reduced,0,1,No IEP,56,0.84
76,1,Gabriel,Hall,2006-06-27,Female,2023-09-27,1,Full Price,0,0,No IEP,69,0.91
77,1,Noah,Garcia,2006-08-17,Female,2023-12-29,1,Reduced,0,0,No IEP,87,0.98
78,1,Logan,Brown,2015-10-16,Other,2022-12-31,1,Reduced,0,0,No IEP,83,0.91
79,1,Jordan,Johnson,2010-06-18,Male,2023-02-03,1,Reduced,0,0,No IEP,68,0.71
80,1,Bailey,Rodriguez,2018-12-20,Male,2023-07-28,1,Free,0,0,No IEP,50,0.79
81,1,Isaiah,Davis,2008-08-06,Other,2022-09-02,1,Free,1,0,Current IEP,54,0.89
82,1,Isaiah,Brown,2008-01-06,Female,2023-01-03,1,Free,0,0,No IEP,86,0.74
83,1,Bailey,Brown,2012-09-21,Female,2022-06-25,1,Reduced,0,0,No IEP,77,0.93
84,1,Finley,Lee,2010-09-01,Other,2024-02-14,0,Free,0,0,No IEP,59,0.96
85,1,Dakota,Brown,2011-02-28,Other,2023-10-13,1,Reduced,0,0,Current IEP,84,0.88
86,1,Kendrick,Martinez,2020-03-25,Male,2024-02-01,1,Free,0,0,No IEP,74,0.95
87,1,Gabriel,Brown,2019-08-23,Female,2023-08-27,1,Free,0,0,No IEP,41,0.84
88,1,Parker,White,2020-07-13,Other,2023-01-01,1,Full Price,0,1,Current IEP,40,0.63
89,1,Kendrick,Williams,2019-08-25,Female,2023-01-17,1,Free,1,0,No IEP,38,0.57
90,1,Harper,White,2017-07-03,Other,2023-04-21,1,Reduced,0,0,Current IEP,95,0.97
91,1,Eden,Davis,2006-02-02,Other,2024-04-17,1,Reduced,0,0,No IEP,55,0.71
92,1,Dakota,Brown,2017-08-20,Other,2022-07-30,1,Full Price,0,0,Evaluation Pending,42,0.68
93,1,Isaiah,Jones,2016-07-06,Other,2023-04-09,1,Free,0,0,No IEP,59,0.75
94,1,Noah,White,2018-12-05,Male,2022-08-16,1,Free,0,0,No IEP,72,0.93
95,1,Dakota,Walker,2017-09-17,Male,2024-04-16,1,Reduced,0,1,No IEP,77,0.89
96,1,Oliver,Johnson,2008-02-24,Male,2023-01-25,1,Free,0,0,No IEP,62,0.71
97,1,Harper,Allen,2020-04-13,Male,2023-09-27,1,Reduced,1,0,No IEP,89,0.92
98,1,Bailey,Martinez,2015-03-04,Female,2023-02-14,1,Free,0,0,No IEP,45,0.95
99,1,Parker,Young,2018-05-01,Other,2022-08-10,1,Full Price,0,0,No IEP,92,0.94
100,1,Morgan,White,2020-12-27,Male,2022-09-27,1,Free,0,1,No IEP,99,0.76
101,1,Alex,Young,2009-08-25,Male,2024-01-10,1,Reduced,0,0,No IEP,53,0.71
102,1,Gabriel,Williams,2016-10-11,Other,2024-05-23,1,Reduced,0,0,No IEP,91,0.95
103,1,Harper,Brown,2012-11-16,Other,2023-05-16,1,Reduced,0,0,No IEP,60,0.9
104,1,Parker,Rodriguez,2009-08-20,Female,2023-07-01,1,Full Price,0,0,No IEP,54,0.76
105,1,Gabriel,Smith,2020-05-14,Other,2023-02-11,1,Free,0,0,No IEP,36,0.56
106,1,Oliver,Young,2010-05-19,Male,2023-11-13,1,Free,0,0,No IEP,23,0.6
107,1,Eden,Garcia,2010-04-04,Male,2024-04-06,1,Reduced,0,0,No IEP,44,0.72
108,1,Eden,Young,2017-06-05,Male,2024-04-19,1,Reduced,0,0,No IEP,75,0.92
109,1,Bailey,Jones,2020-11-18,Male,2023-08-02,1,Reduced,0,0,No IEP,109,0.96
110,1,Casey,Hall,2006-04-16,Female,2022-09-10,1,Reduced,1,0,No IEP,79,0.96
111,1,Noah,Young,2017-05-06,Other,2023-03-14,1,Reduced,0,0,No IEP,65,0.91
112,1,Isaiah,Allen,2007-03-18,Female,2023-12-29,1,Full Price,1,0,No IEP,47,0.61
113,1,Parker,Brown,2014-11-22,Female,2023-01-08,1,Reduced,0,0,No IEP,24,0.56
114,1,Dakota,Walker,2010-09-24,Other,2023-01-06,0,Free,0,0,No IEP,101,0.92
115,1,Gabriel,Garcia,2017-02-20,Male,2024-01-07,1,Full Price,0,0,No IEP,50,0.92
116,1,Finley,Brown,2016-04-05,Other,2023-05-19,1,Free,0,0,No IEP,39,0.72
117,1,Eden,Young,2014-10-17,Female,2022-11-27,1,Free,0,1,No IEP,71,0.97
118,1,Noah,Johnson,2017-04-04,Male,2023-12-31,1,Reduced,1,1,No IEP,74,0.89
119,1,Isaiah,Walker,2007-06-06,Other,2023-07-21,1,Reduced,0,1,No IEP,71,0.84
120,1,Parker,Walker,2018-12-19,Male,2024-05-10,1,Full Price,0,0,No IEP,63,0.53
121,1,Bailey,Williams,2009-06-16,Male,2022-12-15,1,Reduced,0,0,No IEP,51,0.75
122,1,Parker,Brown,2009-07-15,Other,2022-11-04,1,Free,1,0,No IEP,66,0.89
123,1,Isaiah,Hall,2007-06-16,Other,2023-12-04,1,Reduced,0,0,No IEP,23,0.79
124,1,Finley,Hall,2007-10-22,Female,2024-01-20,1,Reduced,1,1,No IEP,57,0.97
125,1,Bailey,Allen,2018-02-13,Female,2023-01-06,1,Free,0,1,No IEP,83,0.93
126,1,Parker,White,2019-09-28,Male,2023-07-19,1,Free,0,0,No IEP,92,0.89
127,1,Morgan,Brown,2011-07-12,Female,2023-08-07,1,Free,0,0,No IEP,50,0.72
128,1,Isaiah,Smith,2007-12-16,Other,2024-03-18,0,Free,0,0,No IEP,91,0.88
129,1,Parker,Williams,2013-09-07,Female,2024-02-12,1,Free,0,0,No IEP,73,0.93
130,1,Jordan,Allen,2007-11-18,Female,2022-10-10,1,Reduced,0,0,No IEP,35,0.78
131,1,Noah,Johnson,2008-09-07,Female,2024-05-05,1,Free,0,0,No IEP,78,0.79
132,1,Harper,Brown,2012-03-07,Male,2023-07-03,1,Full Price,0,0,No IEP,91,0.96
133,1,Parker,Smith,2016-01-28,Male,2024-04-17,1,Free,1,0,Current IEP,44,0.91
134,1,Isaiah,White,2016-02-08,Other,2022-07-21,1,Full Price,0,0,No IEP,96,0.81
135,1,Logan,Brown,2017-06-18,Female,2023-09-26,1,Free,0,0,No IEP,93,0.9
136,1,Harper,Martinez,2013-09-13,Female,2023-05-14,1,Reduced,0,0,No IEP,80,0.97
137,1,Finley,Young,2009-11-11,Other,2023-02-26,1,Free,0,0,Current IEP,66,0.68
138,1,Kendrick,Young,2013-12-01,Male,2023-03-29,1,Free,0,0,No IEP,95,0.97
139,1,Noah,Lee,2009-08-16,Other,2022-08-20,1,Free,0,0,No IEP,59,0.9
140,1,Harper,Williams,2007-08-07,Female,2023-03-27,1,Free,0,0,No IEP,66,0.84
141,1,Gabriel,Miller,2007-05-10,Other,2023-05-14,1,Free,0,0,Evaluation Pending,49,0.95
142,1,Oliver,Williams,2010-01-16,Male,2022-07-01,1,Full Price,0,0,No IEP,42,0.72
143,1,Bailey,Smith,2012-05-17,Other,2022-09-21,1,Full Price,0,0,Current IEP,51,0.71
144,1,Dakota,Lee,2006-01-05,Female,2022-10-08,1,Full Price,0,0,No IEP,42,0.84
145,1,Oliver,Johnson,2020-04-05,Male,2023-08-29,1,Free,0,0,No IEP,74,0.77
146,1,Gabriel,Rodriguez,2020-03-27,Male,2023-01-04,1,Full Price,0,0,No IEP,25,0.61
147,1,Dakota,Hall,2006-06-19,Male,2022-12-03,1,Free,1,0,No IEP,82,0.89
148,1,Eden,Miller,2013-01-26,Other,2022-08-20,1,Full Price,0,0,No IEP,109,0.91
149,1,Eden,Brown,2007-05-16,Female,2023-04-12,1,Full Price,0,0,No IEP,53,0.67
150,1,Finley,Allen,2007-11-14,Male,2023-05-14,0,Free,0,0,No IEP,67,0.92
151,1,Jordan,Davis,2008-09-14,Female,2023-01-03,1,Reduced,0,0,No IEP,68,0.93
152,1,Finley,Hall,2012-01-03,Female,2024-02-18,1,Free,0,0,No IEP,69,0.75
153,1,Morgan,Brown,2015-01-06,Other,2023-08-27,1,Reduced,0,0,No IEP,52,0.89
154,1,Dakota,Smith,2013-12-07,Male,2023-07-19,1,Reduced,0,0,No IEP,79,0.95
155,1,Parker,White,2018-01-28,Female,2022-11-20,1,Free,0,0,No IEP,44,0.53
156,1,Parker,White,2006-04-23,Male,2024-02-09,1,Reduced,0,1,Current IEP,76,0.67
157,1,Harper,Davis,2012-10-22,Female,2023-01-26,1,Full Price,0,0,Current IEP,39,0.57
158,1,Eden,Garcia,2017-04-06,Other,2023-04-21,1,Full Price,0,0,No IEP,105,0.82
159,1,Noah,Brown,2014-10-08,Male,2024-04-06,1,Reduced,0,0,No IEP,105,0.75
160,1,Dakota,Brown,2018-10-20,Male,2022-11-01,1,Free,1,0,No IEP,52,0.83
161,1,Dakota,Miller,2020-08-14,Male,2023-05-20,1,Full Price,0,0,No IEP,44,0.65
162,1,Oliver,Walker,2011-01-15,Male,2023-03-27,1,Reduced,0,1,No IEP,53,0.96
163,1,Jordan,Allen,2012-07-22,Other,2023-12-08,1,Free,0,0,No IEP,66,0.8
164,1,Morgan,Miller,2010-05-03,Male,2022-12-01,1,Free,0,0,No IEP,72,0.77
165,1,Harper,Rodriguez,2014-12-14,Other,2023-08-08,1,Free,0,0,No IEP,48,0.78
166,1,Harper,Walker,2006-05-10,Other,2022-07-28,1,Reduced,0,0,No IEP,97,0.95
167,1,Noah,Jones,2009-08-07,Female,2024-02-07,1,Reduced,0,0,No IEP,59,0.96
168,1,Parker,Young,2019-03-23,Other,2023-08-28,1,Free,0,0,No IEP,76,0.64
169,1,Logan,Rodriguez,2014-05-16,Male,2023-05-12,1,Free,0,1,Current IEP,91,0.92
170,1,Kendrick,Hall,2020-08-27,Other,2023-08-08,1,Free,1,0,No IEP,47,0.93
171,1,Oliver,Martinez,2016-11-03,Male,2023-02-20,1,Reduced,0,0,No IEP,45,0.94
172,1,Alex,Brown,2007-11-18,Male,2022-08-04,1,Free,0,0,No IEP,73,0.61
173,1,Kendrick,Hall,2015-05-03,Male,2023-02-25,1,Reduced,0,0,No IEP,38,0.58
174,1,Kendrick,Martinez,2008-07-27,Male,2023-07-15,1,Free,0,0,No IEP,92,0.98
175,1,Isaiah,Brown,2014-04-25,Other,2023-04-26,1,Free,0,0,No IEP,94,0.93
176,1,Alex,Young,2014-10-10,Other,2023-10-29,1,Free,0,0,No IEP,82,0.98
177,1,Casey,Hall,2019-12-04,Male,2022-06-28,1,Full Price,0,0,No IEP,65,0.73
178,1,Kendrick,Smith,2018-12-05,Other,2023-07-04,1,Reduced,1,1,No IEP,95,0.98
179,1,Dakota,Walker,2014-07-27,Other,2023-01-10,1,Free,0,0,No IEP,88,0.97
180,1,Jordan,Davis,2013-04-16,Female,2023-05-11,0,Reduced,0,0,No IEP,97,0.95
181,1,Casey,Jones,2019-12-03,Male,2022-08-10,1,Reduced,0,0,No IEP,64,0.77
182,1,Kendrick,Allen,2009-07-09,Male,2022-06-30,1,Reduced,0,0,Current IEP,18,0.64
183,1,Harper,Allen,2009-02-08,Male,2024-04-06,1,Free,0,1,No IEP,56,0.75
184,1,Harper,Williams,2018-10-20,Female,2024-04-30,1,Reduced,0,1,No IEP,75,0.74
185,1,Bailey,Johnson,2006-05-28,Female,2023-05-04,1,Reduced,0,0,No IEP,51,0.71
186,1,Kendrick,Miller,2015-02-04,Male,2024-05-14,1,Free,0,0,No IEP,67,0.83
187,1,Logan,Rodriguez,2016-10-18,Male,2022-12-20,1,Free,0,0,No IEP,56,0.94
188,1,Gabriel,Williams,2015-06-07,Other,2022-07-21,1,Reduced,0,0,No IEP,70,0.96
189,1,Harper,Young,2015-10-07,Male,2023-06-16,1,Full Price,0,0,No IEP,76,0.89
190,1,Logan,Johnson,2012-01-07,Male,2023-11-18,1,Free,0,0,No IEP,80,0.89
191,1,Gabriel,Rodriguez,2009-08-08,Female,2023-11-24,1,Reduced,0,0,Evaluation Pending,42,0.68
192,1,Noah,Davis,2020-01-25,Other,2023-03-07,1,Full Price,0,0,No IEP,91,0.97
193,1,Morgan,Walker,2016-08-17,Female,2023-08-12,1,Reduced,0,0,Current IEP,98,0.68
194,1,Morgan,Garcia,2013-06-09,Other,2023-08-24,1,Full Price,0,0,No IEP,79,0.9
195,1,Harper,Martinez,2006-11-03,Female,2023-02-03,1,Free,0,0,No IEP,65,0.93
196,1,Isaiah,Miller,2010-12-20,Male,2023-10-04,1,Full Price,0,0,No IEP,31,0.78
197,1,Morgan,Davis,2010-04-24,Other,2023-08-10,1,Free,0,0,No IEP,86,0.82
198,1,Logan,Jones,2019-10-28,Male,2023-02-07,1,Reduced,0,0,No IEP,51,0.9
199,1,Kendrick,Hall,2009-07-07,Female,2023-03-22,1,Free,0,0,Current IEP,66,0.8
200,1,Morgan,Rodriguez,2016-04-08,Female,2023-07-18,1,Free,1,0,No IEP,31,0.54
201,1,Jordan,Allen,2019-12-22,Female,2023-03-31,1,Reduced,0,0,No IEP,61,0.92
202,1,Oliver,Johnson,2013-12-03,Female,2023-08-16,1,Full Price,0,0,No IEP,42,0.82
203,1,Dakota,Hall,2012-12-02,Male,2022-09-05,1,Free,0,0,No IEP,82,0.9
204,1,Oliver,Garcia,2007-05-07,Other,2023-10-15,0,Free,0,0,No IEP,96,0.61
205,1,Casey,Davis,2011-12-15,Male,2023-04-12,1,Free,0,0,No IEP,86,0.91
206,1,Gabriel,Young,2008-12-02,Other,2023-07-28,1,Reduced,0,0,No IEP,36,0.95
207,1,Alex,Smith,2010-06-27,Male,2023-02-25,1,Free,0,1,No IEP,20,0.92
208,1,Noah,Brown,2016-04-07,Male,2023-12-05,1,Free,0,0,No IEP,80,0.89
209,1,Dakota,Garcia,2013-05-04,Other,2023-10-12,1,Reduced,0,0,No IEP,24,0.57
210,1,Harper,Smith,2008-04-01,Other,2023-06-19,1,Free,0,0,No IEP,45,0.63
211,1,Kendrick,Jones,2007-05-11,Other,2024-03-24,1,Free,0,0,No IEP,47,0.72
212,1,Harper,Hall,2018-09-11,Male,2024-04-30,1,Free,0,1,No IEP,55,0.9
213,1,Jordan,Garcia,2016-12-07,Male,2024-01-01,1,Reduced,0,0,Current IEP,92,0.94
214,1,Eden,White,2009-01-25,Female,2023-08-20,1,Free,0,0,No IEP,97,0.98
215,1,Gabriel,Smith,2014-01-28,Other,2023-11-27,1,Free,0,0,No IEP,57,0.91
216,1,Gabriel,Allen,2017-05-25,Other,2023-05-08,1,Reduced,0,0,No IEP,64,0.79
217,1,Oliver,Jones,2012-05-08,Other,2023-03-17,1,Reduced,0,1,No IEP,83,0.97
218,1,Morgan,Rodriguez,2017-12-14,Other,2023-04-27,1,Free,0,0,No IEP,69,0.52
219,1,Noah,Rodriguez,2010-12-14,Male,2023-10-23,1,Free,1,0,No IEP,96,0.88
220,1,Dakota,Garcia,2007-02-10,Male,2023-02-18,1,Free,0,0,No IEP,73,0.89
221,1,Isaiah,White,2016-08-25,Female,2024-02-11,1,Free,0,0,No IEP,4,0.5
222,1,Eden,Smith,2009-10-04,Other,2023-05-21,1,Reduced,0,0,No IEP,76,0.98
223,1,Kendrick,Young,2016-04-20,Female,2023-01-24,1,Reduced,1,0,Current IEP,63,0.94
224,1,Bailey,Jones,2020-08-26,Male,2023-01-23,1,Reduced,0,0,No IEP,101,0.91
225,1,Finley,Lee,2013-07-25,Female,2024-01-27,1,Free,0,0,No IEP,68,0.9
226,1,Morgan,Hall,2008-11-21,Other,2022-11-24,1,Reduced,0,0,No IEP,77,0.95
227,1,Alex,Rodriguez,2007-01-19,Other,2024-02-23,1,Free,0,0,No IEP,59,0.65
228,1,Harper,White,2020-11-15,Male,2024-01-16,1,Free,0,0,No IEP,69,0.72
229,1,Bailey,Lee,2015-03-27,Other,2023-07-02,1,Reduced,0,0,No IEP,51,0.96
230,1,Parker,Walker,2019-07-13,Male,2023-11-23,1,Free,0,0,No IEP,86,0.96
231,1,Parker,Rodriguez,2012-03-07,Male,2024-02-15,1,Free,0,0,No IEP,49,0.51
232,1,Bailey,Brown,2007-09-21,Female,2022-06-30,1,Full Price,0,0,No IEP,82,0.98
233,1,Morgan,Martinez,2009-11-21,Female,2023-04-14,1,Free,1,0,No IEP,69,0.63
234,1,Noah,Rodriguez,2014-10-05,Male,2023-10-07,1,Reduced,0,0,No IEP,19,0.6
235,1,Gabriel,Brown,2017-03-28,Other,2024-05-04,1,Free,0,0,No IEP,68,0.78
236,1,Noah,Smith,2015-04-10,Male,2023-10-26,1,Reduced,0,0,No IEP,71,0.83
237,1,Bailey,Miller,2015-03-10,Male,2023-01-08,1,Reduced,0,0,No IEP,78,0.85
238,1,Eden,Miller,2015-02-21,Other,2023-03-19,1,Reduced,0,0,No IEP,34,0.8
239,1,Dakota,Allen,2016-02-11,Other,2022-12-18,1,Full Price,0,0,No IEP,76,0.75
240,1,Parker,Brown,2010-09-12,Other,2024-05-14,1,Free,0,1,No IEP,33,0.72
241,1,Eden,Jones,2011-07-19,Other,2023-04-22,1,Full Price,0,0,No IEP,48,0.83
242,1,Harper,Rodriguez,2016-11-28,Male,2022-09-09,1,Reduced,0,1,No IEP,67,0.98
243,1,Eden,White,2017-08-17,Other,2023-09-22,1,Full Price,0,0,No IEP,92,0.89
244,1,Bailey,Young,2020-03-22,Other,2024-05-17,1,Free,0,0,No IEP,78,0.9
245,1,Jordan,White,2006-05-09,Male,2023-03-19,0,Reduced,0,0,Current IEP,62,0.89
246,1,Dakota,Smith,2016-06-24,Male,2022-12-14,1,Free,0,0,No IEP,80,0.83
247,1,Isaiah,Brown,2020-08-22,Female,2023-12-19,1,Free,0,0,No IEP,67,0.96
248,1,Isaiah,Brown,2009-07-16,Other,2024-02-01,1,Reduced,1,0,No IEP,40,0.92
249,1,Bailey,Lee,2012-07-20,Other,2022-12-28,0,Reduced,0,1,No IEP,86,0.98
250,1,Dakota,Garcia,2015-04-28,Other,2023-12-20,1,Free,1,0,No IEP,82,0.96
251,1,Noah,White,2009-01-17,Female,2023-12-27,1,Free,0,0,No IEP,69,0.97
252,1,Noah,Garcia,2012-05-16,Female,2023-09-15,1,Free,0,0,No IEP,50,0.88
253,1,Dakota,Jones,2008-11-24,Other,2023-06-20,1,Reduced,0,0,No IEP,55,0.79
254,1,Eden,Miller,2017-07-18,Other,2023-02-23,1,Full Price,0,0,Current IEP,91,0.79
255,1,Eden,Rodriguez,2020-01-19,Male,2023-05-16,1,Reduced,0,0,No IEP,61,0.51
256,1,Gabriel,Smith,2019-09-15,Other,2022-12-16,1,Reduced,0,0,No IEP,102,0.93
257,1,Bailey,Davis,2014-04-18,Male,2024-01-24,0,Free,0,0,No IEP,40,0.74
258,1,Isaiah,Garcia,2017-05-01,Other,2022-11-09,1,Full Price,0,0,No IEP,52,0.94
259,1,Morgan,Jones,2017-08-08,Other,2023-04-29,1,Free,0,1,No IEP,94,0.8
260,1,Gabriel,Williams,2008-03-03,Female,2023-11-26,1,Full Price,0,1,No IEP,47,0.54
261,1,Isaiah,Jones,2017-11-20,Male,2024-05-12,1,Free,0,0,No IEP,76,0.89
262,1,Isaiah,Brown,2019-01-27,Male,2024-02-27,1,Free,0,0,No IEP,47,0.68
263,1,Dakota,White,2020-03-04,Male,2023-10-08,1,Full Price,0,0,No IEP,16,0.75
264,1,Jordan,Walker,2020-02-09,Female,2024-02-28,1,Full Price,0,0,No IEP,99,0.92
265,1,Isaiah,Jones,2006-02-11,Male,2023-12-24,1,Free,0,0,No IEP,82,0.92
266,1,Harper,Hall,2012-02-19,Other,2022-09-16,1,Reduced,0,0,No IEP,85,0.97
267,1,Eden,Rodriguez,2009-08-05,Other,2023-05-20,1,Full Price,0,0,No IEP,0,0.77
268,1,Finley,Smith,2008-03-12,Male,2024-01-25,1,Free,0,0,No IEP,102,0.88
269,1,Eden,Johnson,2008-11-02,Other,2023-01-29,1,Reduced,1,0,No IEP,88,0.91
270,1,Eden,Miller,2020-07-20,Male,2023-02-14,1,Free,0,0,No IEP,74,0.6
